song_id,tempo,chroma_mean,mfcc_mean,rmse_mean,centroid_mean,bandwidth_mean,contrast_mean,rolloff_mean,zcr_mean,tonnetz_mean,valence_mean,valence_std,arousal_mean,arousal_std
2,139.6748310810811,0.4827926,0.6469883,0.105231434,1894.684236084938,2486.1994364646275,21.764937169569155,3912.602976779849,0.03652223000386399,0.008235157186623697,3.1,0.94,3.0,0.63
3,95.703125,0.66426384,3.2511787,0.11619953,1043.1673528686656,1909.4481982672276,22.510142487916543,2180.582380184165,0.013481547273781903,0.09972488009439542,3.5,1.75,3.3,1.62
4,84.72079918032787,0.46746746,5.0340695,0.18490416,1917.0912870894379,2596.7556809804964,22.120059552342024,3948.575487601508,0.03738668451114978,0.034035195317192526,5.7,1.42,5.5,1.63
5,123.046875,0.38192165,-4.530393,0.14974837,1898.303391199124,2731.84391525598,24.818698294997013,3771.88553599913,0.03625617306328951,-0.05016833694088384,4.4,2.01,5.3,1.85
7,120.18531976744185,0.5532858,7.5046353,0.26714733,1269.4579568619804,2229.9216172160573,20.949943926885815,2820.644372766132,0.012908133693972179,0.025262447426197557,5.8,1.47,6.4,1.69
8,82.03125,0.51710534,-0.5562791,0.12268523,1500.7194391598869,2106.5985139840186,21.39148008676205,3201.6023473724886,0.023845029945904175,0.025976951020333445,3.2,1.4,4.8,1.54
10,93.96306818181819,0.33159825,-5.5870776,0.06626815,1785.327839559324,2297.4046379240795,23.47545544431683,3698.053063417697,0.04161069418952859,0.019788934613121197,4.0,1.67,4.7,1.85
12,93.96306818181819,0.48946434,4.7038093,0.22828828,2459.729177139139,2981.8001664837925,21.166431073666285,5383.156560930255,0.04642470456594539,0.06635406974513983,5.5,1.91,5.8,1.89
13,87.5926906779661,0.41589615,-2.3605294,0.13243724,1927.9221874235727,2879.136851607322,25.222215599528894,4009.2139502028595,0.031152645624034005,0.04236678171620492,3.2,1.4,4.0,1.67
17,107.666015625,0.46006376,4.5799537,0.2105077,2125.9839518222097,2701.5278553005264,21.97324399768254,4627.497554820325,0.039394938779945904,0.04755610118320484,4.4,1.8,6.0,2.05
18,92.28515625,0.39355674,-4.0304303,0.07100743,2310.5699137705456,2808.0511565619076,23.17665580357731,5100.606766808346,0.048896927123583206,0.03532686091685233,4.8,1.72,3.9,1.37
19,126.04801829268293,0.52623856,7.4917436,0.21919407,1998.043201179904,2680.6474472452314,21.33147543154797,4382.342685071056,0.04269974844515339,-0.005615914377268523,5.9,1.64,4.3,1.9
20,109.95678191489361,0.43741104,2.408246,0.12965646,2881.497893383821,3509.200165240486,22.13646882495317,6292.780234918793,0.06887988105020623,0.018824979336446206,5.4,2.5,6.5,2.11
21,135.99917763157896,0.3755812,1.4598219,0.19745514,1878.7368964512723,2582.2515635369427,24.148383928859676,3951.370508114374,0.04080758347823287,-0.005596593613462171,6.6,0.92,6.3,1.42
22,97.50884433962264,0.49656108,1.7075347,0.117442265,1714.726861757059,2300.780227054967,21.06566419077835,3416.834713964617,0.03961460145978345,0.010323783593533859,4.0,1.34,4.8,1.47
24,95.703125,0.3317,-1.6988189,0.15666176,2289.3332424623873,2884.083666223639,22.447649336431628,4638.081107515456,0.043183961030074706,-0.023582568649245666,5.3,1.62,3.9,1.76
25,143.5546875,0.54673755,4.395217,0.1421025,2683.56924287935,3046.274431350462,20.840032749939873,5413.908770648184,0.05652553552453632,0.003230447446612513,7.9,0.7,4.7,2.53
31,161.4990234375,0.4726876,3.2858994,0.11897705,2724.2561417084544,3187.2605299015595,22.459675089300905,6263.6918140951275,0.05640699519850477,-0.020070822873712642,4.7,1.55,3.8,1.54
32,71.77734375,0.3361199,-0.09806086,0.23806238,1718.8858202018994,1538.7436751247324,22.633506281703934,2815.8146479843385,0.06362383990719257,0.045695858391999515,4.2,1.78,3.3,1.49
35,156.60511363636363,0.32490113,0.831374,0.22024828,2027.2871384411,2771.160961544773,24.548050390472415,4296.248538049955,0.03857673501513785,-0.02845870382766071,4.8,2.14,6.5,2.11
37,139.6748310810811,0.5030805,3.1766338,0.14624304,2381.587545259105,2953.979476636878,20.677807639897814,4809.698217263631,0.0451950305329982,0.012445276340011231,6.6,2.11,5.3,2.0
39,123.046875,0.3683043,-0.64000845,0.19341384,2585.6842215103366,2334.2632974211488,22.003580589869973,4645.735878332689,0.08222570719023699,0.015416255544308729,7.3,1.85,5.4,2.37
40,126.04801829268293,0.4544341,-1.0668557,0.09511731,1751.2010560538731,2508.906281892792,21.857253194247583,3679.0207149011208,0.03081783146257408,0.052817112210024074,4.6,1.28,4.8,1.54
41,112.34714673913044,0.4998278,3.1905859,0.16349465,1669.0427111276297,2129.010543055537,20.308085695538523,3165.380859375,0.03947676491202629,-0.02952799451216113,4.3,1.62,5.1,1.3
42,109.95678191489361,0.5625749,5.8659472,0.14524196,1802.9500143546366,2401.907808669815,19.461817091894428,3533.47150975203,0.03953139601862594,0.01795376957112935,6.1,1.58,5.1,1.92
43,112.34714673913044,0.49627018,15.2093935,0.48882183,1826.9786071287454,2164.0417143736913,20.139855093748345,3619.748654111079,0.04168328257927301,-0.0017397521159376412,6.7,2.33,3.5,1.5
44,89.10290948275862,0.42353284,-3.000435,0.11997371,1752.1851109970146,2506.502536807438,22.996879519809923,3496.6779881453017,0.032950865235885536,-0.012994303781826928,3.9,1.04,4.9,1.58
45,184.5703125,0.41278556,8.214153,0.33907977,1329.4455762247987,1292.2993296619243,20.66889193432141,2517.4266974376933,0.03756155714676713,-0.010149300964433767,5.1,2.43,2.1,1.37
46,87.5926906779661,0.42528832,-1.1863009,0.1188212,2141.819169007708,2668.224497705483,21.048075310713678,4495.321223354118,0.04365528929814385,-0.013962374169732642,5.3,1.95,4.0,1.73
47,161.4990234375,0.5504579,4.5287437,0.13429613,1745.5052436997844,2291.3118022828667,19.817758939052396,3629.8352305684457,0.034200835025135344,0.014213433571992257,4.4,1.74,4.4,1.56
48,105.46875,0.57092404,2.2154598,0.10351449,1863.071006139277,2356.4733952055153,20.658541749745712,3583.327064602668,0.0455646087103635,-0.03209352499261314,4.5,1.86,4.8,1.78
49,105.46875,0.39427844,-0.01937234,0.2146214,1488.3594247608646,2060.0261887168244,24.33155082603112,2632.6143574309312,0.0345802994992916,0.03922279541646609,3.9,1.3,5.3,1.19
50,93.96306818181819,0.5022901,-4.1702814,0.10446133,884.8947518708543,1471.2173049423095,23.178897188015718,1733.905434940108,0.015845493825669757,0.005995266545179759,3.6,1.02,4.8,1.08
51,114.84375,0.5314201,3.9982884,0.14633954,1190.9098605103825,1842.0196296231356,23.246514402406337,2417.0895540809584,0.023925403420815065,-0.015422568587894817,3.6,1.11,3.2,0.98
52,109.95678191489361,0.50508475,13.585482,0.4208061,1757.30381939123,2285.734059223141,21.896858623012438,3729.981223435085,0.03543384833043534,-0.031300883005841204,4.6,1.11,5.1,1.81
53,107.666015625,0.45001426,-1.4425089,0.09525762,1638.4673406863765,2288.971716197032,22.565734972638953,2974.660580383018,0.04221180085973725,0.019150783239442366,4.3,2.37,5.1,1.7
54,84.72079918032787,0.5642837,3.5131907,0.13946395,1299.4009146177173,1903.9443206252834,23.131413028907247,2522.759910636601,0.022745547942446508,0.11335516022831896,3.1,1.58,3.3,1.62
55,135.99917763157896,0.32272545,-4.9914417,0.11922405,1266.8120486457606,1317.6229256967279,22.252863655427088,2371.7887860716355,0.03761200635634184,-0.023099523282525174,5.8,1.33,5.4,1.11
56,92.28515625,0.3812775,7.534197,0.25980398,2191.156095810532,2588.694081822984,22.7836049578487,4103.761463666441,0.05992602073673364,0.04497816905886327,6.4,1.43,5.8,1.4
58,161.4990234375,0.46425906,6.486024,0.19231464,1723.3617381419817,2364.7617873005306,23.770675053236197,3606.2980350928074,0.03324705646590616,-0.002504214062602558,3.3,1.55,3.4,1.56
59,99.38401442307692,0.42920837,9.803349,0.3614865,1775.732120784419,1960.7254064573722,21.143653583869167,3421.630972665313,0.04598592279743491,0.013709817912369455,5.3,1.73,4.1,1.92
60,191.40625,0.4890245,-0.7383229,0.0987059,1744.7556711542707,2295.276238630833,22.454038182372727,3516.7071052091383,0.03849950492658424,0.008135496789675959,4.3,1.49,6.4,0.49
62,151.99908088235293,0.41553354,-1.5486331,0.119796656,1969.607482409349,1743.0867574369872,20.772274676169204,3463.051599328632,0.06794895209460329,0.0013390964392825235,6.2,0.87,3.9,1.22
64,120.18531976744185,0.49420768,3.5210512,0.11702436,2201.6862865974135,3044.783450801166,20.638114013750204,4793.372063515081,0.04208584082559938,0.047554375221934814,3.6,1.28,4.9,1.58
65,172.265625,0.46063486,-0.45746687,0.10607471,2578.103741556925,3030.3488241615664,21.32904664310759,5223.847384353248,0.05772745673820572,0.00022415189080583344,6.4,1.43,5.8,1.83
67,117.45383522727273,0.47939718,1.3840252,0.11944859,2479.7440342609298,2774.933962643277,20.788015985072885,5058.461151830564,0.056806152595311694,0.009676064251528406,7.2,0.75,6.8,1.4
68,184.5703125,0.40963465,-0.701702,0.12666883,1612.2278981714535,2224.4498983443987,23.22892267064357,3237.080546029753,0.035926028786707885,-0.01819040441232124,3.8,1.33,4.9,1.64
69,117.45383522727273,0.33850786,-26.755634,0.03521972,1199.1822032321038,1053.205687334173,22.292364040961566,2381.85404994204,0.042082498148505926,0.025820429276093827,3.2,0.87,3.9,0.83
70,120.18531976744185,0.47959155,2.6315153,0.123340875,2082.713978875586,2778.2575250605455,22.021726451559015,4227.313902204888,0.03821863629411386,0.00997642990263666,4.4,1.69,3.6,1.43
